('Mountain View City Hall', Trip(trip_id=4081, duration=218, start_date=datetime.datetime(2013, 8, 29, 9, 38), start_station_name='Mountain View City Hall', start_station_id=27, end_date=datetime.datetime(2013, 8, 29, 9, 41), end_station_name='Mountain View City Hall', end_station_id=27, bike_id=150, subscription_type='Subscriber', zip_code='97214'))
('Santa Clara at Almaden', Trip(trip_id=4500, duration=109, start_date=datetime.datetime(2013, 8, 29, 13, 25), start_station_name='Santa Clara at Almaden', start_station_id=4, end_date=datetime.datetime(2013, 8, 29, 13, 27), end_station_name='Adobe on Almaden', end_station_id=5, bike_id=679, subscription_type='Subscriber', zip_code='95112'))
('San Salvador at 1st', Trip(trip_id=4517, duration=379, start_date=datetime.datetime(2013, 8, 29, 13, 34), start_station_name='San Salvador at 1st', start_station_id=8, end_date=datetime.datetime(2013, 8, 29, 13, 41), end_station_name='San Jose City Hall', end_station_id=10, bike_id=661, subscription_type='Subscriber', zip_code='95112'))
('Clay at Battery', Trip(trip_id=4283, duration=1712, start_date=datetime.datetime(2013, 8, 29, 11, 55), start_station_name='Clay at Battery', start_station_id=41, end_date=datetime.datetime(2013, 8, 29, 12, 23), end_station_name='Harry Bridges Plaza (Ferry Building)', end_station_id=50, bike_id=544, subscription_type='Subscriber', zip_code='94070'))
('Market at 10th', Trip(trip_id=4206, duration=1066, start_date=datetime.datetime(2013, 8, 29, 11, 9), start_station_name='Market at 10th', start_station_id=67, end_date=datetime.datetime(2013, 8, 29, 11, 27), end_station_name='Steuart at Market', end_station_id=74, bike_id=632, subscription_type='Customer', zip_code='98034'))
('Redwood City Caltrain Station', Trip(trip_id=4078, duration=3829, start_date=datetime.datetime(2013, 8, 29, 9, 31), start_station_name='Redwood City Caltrain Station', start_station_id=22, end_date=datetime.datetime(2013, 8, 29, 10, 34), end_station_name='Redwood City Caltrain Station', end_station_id=22, bike_id=228, subscription_type='Customer', zip_code='94062'))
('Grant Avenue at Columbus Avenue', Trip(trip_id=4123, duration=500, start_date=datetime.datetime(2013, 8, 29, 10, 14), start_station_name='Grant Avenue at Columbus Avenue', start_station_id=73, end_date=datetime.datetime(2013, 8, 29, 10, 22), end_station_name='Clay at Battery', end_station_id=41, bike_id=503, subscription_type='Subscriber', zip_code='94115'))
('San Francisco Caltrain (Townsend at 4th)', Trip(trip_id=4177, duration=278, start_date=datetime.datetime(2013, 8, 29, 11, 3), start_station_name='San Francisco Caltrain (Townsend at 4th)', start_station_id=70, end_date=datetime.datetime(2013, 8, 29, 11, 8), end_station_name='2nd at South Park', end_station_id=64, bike_id=371, subscription_type='Subscriber', zip_code='94117'))
('MLK Library', Trip(trip_id=4379, duration=610, start_date=datetime.datetime(2013, 8, 29, 12, 29), start_station_name='MLK Library', start_station_id=11, end_date=datetime.datetime(2013, 8, 29, 12, 39), end_station_name='MLK Library', end_station_id=11, bike_id=669, subscription_type='Subscriber', zip_code='95112'))
('Harry Bridges Plaza (Ferry Building)', Trip(trip_id=4278, duration=353, start_date=datetime.datetime(2013, 8, 29, 11, 52), start_station_name='Harry Bridges Plaza (Ferry Building)', start_station_id=50, end_date=datetime.datetime(2013, 8, 29, 11, 58), end_station_name='Commercial at Montgomery', end_station_id=45, bike_id=596, subscription_type='Subscriber', zip_code='94123'))
('San Mateo County Center', Trip(trip_id=4766, duration=315, start_date=datetime.datetime(2013, 8, 29, 17, 5), start_station_name='San Mateo County Center', start_station_id=23, end_date=datetime.datetime(2013, 8, 29, 17, 10), end_station_name='San Mateo County Center', end_station_id=23, bike_id=227, subscription_type='Subscriber', zip_code='94402'))
